Business,Eligible Loans,Loan_Provider,Loan_Type,Interest_Rate
Coffee Shop,Axis Bank SME Loan; ICICI Bank MSME Loan; HDFC Business Growth Loan,,,
Salon,HDFC Business Growth Loan; Axis Bank SME Loan; ICICI Bank MSME Loan,,,
Gym,HDFC Business Growth Loan; SBI Mudra Loan; ICICI Bank MSME Loan,,,
Bakery,SBI Mudra Loan; ICICI Bank MSME Loan; HDFC Business Growth Loan,,,
Bookstore,SBI Mudra Loan; Canara Bank Startup Loan; Axis Bank SME Loan,,,
Pet Grooming,HDFC Business Growth Loan; Axis Bank SME Loan; Canara Bank Startup Loan,,,
Cloud Kitchen,HDFC Business Growth Loan; Canara Bank Startup Loan; ICICI Bank MSME Loan,,,
Boutique,SBI Mudra Loan; HDFC Business Growth Loan; ICICI Bank MSME Loan,,,
Electronics Repair,ICICI Bank MSME Loan; SBI Mudra Loan; Canara Bank Startup Loan,,,
Dance Studio,SBI Mudra Loan; Canara Bank Startup Loan; Axis Bank SME Loan,,,
,,"Kennedy, Arias and Hudson",Business Loan,9.43%
,,"Carpenter, Chavez and Miller",Startup Loan,14.74%
,,Walters-Mathews,Startup Loan,8.58%
,,Wiggins and Sons,Equipment Financing,8.86%
,,"Smith, Boyle and Gonzales",Business Loan,8.67%
,,Floyd Inc,Commercial Loan,8.85%
,,Williams-Whitehead,Startup Loan,8.63%
,,"Chapman, Greene and Campbell",Equipment Financing,12.83%
,,"Ingram, Johnson and Byrd",Startup Loan,8.20%
,,Ramos Ltd,Startup Loan,6.89%
,,Sherman Inc,Startup Loan,12.28%
,,Rice PLC,Equipment Financing,5.55%
,,Dennis LLC,Commercial Loan,13.48%
,,"Martin, Nguyen and Walker",Equipment Financing,12.41%
,,Long and Sons,Equipment Financing,9.67%
,,"Henry, Sanders and Davis",Commercial Loan,9.14%
,,"Crawford, Wilcox and Dickerson",Business Loan,6.69%
,,"Collins, Johnson and Pineda",Startup Loan,9.50%
,,Cannon-Cameron,Commercial Loan,5.47%
,,"Reynolds, Collins and Jimenez",Startup Loan,7.91%
,,Vargas-Snyder,Startup Loan,14.89%
,,"Wolfe, Jones and Rose",Commercial Loan,12.79%
,,James-Yang,Startup Loan,11.31%
,,Kane PLC,Commercial Loan,13.48%
,,Jimenez LLC,Business Loan,5.84%
,,"Wagner, Boyd and Patterson",Equipment Financing,12.57%
,,Carroll-Bailey,Equipment Financing,7.92%
,,White-Weaver,Business Loan,14.76%
,,Robinson Group,Business Loan,5.35%
,,Ramirez Ltd,Commercial Loan,9.14%
,,Myers-Johnson,Business Loan,9.68%
,,"Richardson, Bryant and Collins",Equipment Financing,12.60%
,,Gonzalez-Wilson,Startup Loan,7.04%
,,Cummings Group,Business Loan,6.82%
,,Brown Group,Startup Loan,14.16%
,,Williams-Hernandez,Startup Loan,8.85%
,,"Clark, Allen and Taylor",Commercial Loan,14.81%
,,Ray and Sons,Business Loan,13.96%
