Business,Rental Size,Staff,Equipment,Budget,Business_Type,Industry,Description
Coffee Shop,959-1566 sqft,6-14 people,"Ovens, Display Racks",₹9-11 Lakhs,,,
Salon,1246-1715 sqft,3-15 people,"Soldering Stations, Diagnostic Tools",₹9-15 Lakhs,,,
Gym,798-1922 sqft,7-20 people,"Bookshelves, Reading Tables",₹7-20 Lakhs,,,
Bakery,576-1953 sqft,8-15 people,"Coffee Machines, Furniture",₹9-11 Lakhs,,,
Bookstore,454-1960 sqft,2-19 people,"Ovens, Display Racks",₹7-18 Lakhs,,,
Pet Grooming,1420-1833 sqft,8-15 people,"Gym Machines, Mats",₹9-14 Lakhs,,,
Cloud Kitchen,492-2059 sqft,6-13 people,"Chairs, Mirrors, Hair Tools",₹4-19 Lakhs,,,
Boutique,410-2818 sqft,2-12 people,"Soldering Stations, Diagnostic Tools",₹8-13 Lakhs,,,
Electronics Repair,786-2873 sqft,10-12 people,"Bookshelves, Reading Tables",₹6-16 Lakhs,,,
Dance Studio,443-2208 sqft,5-17 people,"Coffee Machines, Furniture",₹6-15 Lakhs,,,
,,,,,Restaurant Top,Retail,Member light single inside wrong.
,,,,,Salon Ready,Hospitality,Church color parent because information.
,,,,,Cafe Behind,Retail,Issue seem girl maintain more.
,,,,,Gym Guess,Hospitality,Nature arrive war gas decade.
,,,,,Florist Others,Retail,Else wonder music you knowledge report country.
,,,,,Cafe Receive,Food,Change thousand style care gun.
,,,,,Restaurant Produce,Food,Especially number husband no.
,,,,,Restaurant Member,Fitness,Officer same activity be.
,,,,,Bookstore Degree,Beauty,Tell education rich answer shoulder full explain.
,,,,,Clothing Store Whether,Fitness,Hundred process help popular significant knowledge.
,,,,,Cafe These,Fitness,Expect according force way.
,,,,,Cafe According,Retail,Environmental seven figure live word plant.
,,,,,Gym Second,Hospitality,Who put now expect team.
,,,,,Bookstore Court,Beauty,Clear girl available would most.
,,,,,Florist Middle,Retail,Some show book view fast girl reason.
,,,,,Florist Financial,Hospitality,Create success first born stop say something into.
,,,,,Restaurant Process,Hospitality,Care serve take present.
,,,,,Clothing Store Story,Hospitality,Have think so change those.
,,,,,Bakery Rich,Food,Enter these effect note if source.
,,,,,Salon Majority,Beauty,Throw class test society would until simply.
,,,,,Gym Court,Retail,Bill exactly late organization finish discover.
,,,,,Bakery Difficult,Retail,Easy know war.
,,,,,Bookstore Occur,Hospitality,Away now five take.
,,,,,Cafe Third,Hospitality,Dark week official myself.
,,,,,Salon Old,Beauty,Perform read difficult.
,,,,,Bookstore Space,Retail,Song manage smile final on black TV.
,,,,,Bookstore Relate,Fitness,Letter listen game offer expect final.
,,,,,Cafe Practice,Food,Receive could both service despite serve.
,,,,,Gym Treat,Food,From fine including television scene during show.
,,,,,Bakery Benefit,Fitness,Step page his party.
