City,Area,Foot Traffic,State,Population
Bangalore,Tech Park,2030.0,,
Bangalore,Downtown,2857.0,,
Bangalore,City Center,2910.0,,
Chennai,Shopping District,4187.0,,
Chennai,City Center,4578.0,,
Chennai,Near Airport,3491.0,,
Mumbai,Shopping District,3351.0,,
Mumbai,Downtown,3278.0,,
Mumbai,Tech Park,3408.0,,
Delhi,Shopping District,3912.0,,
Delhi,Suburb,1855.0,,
Delhi,Downtown,1536.0,,
Hyderabad,Suburb,4194.0,,
Hyderabad,Tech Park,1989.0,,
Hyderabad,City Center,4455.0,,
Pune,Suburb,4375.0,,
Pune,Shopping District,3401.0,,
Pune,City Center,2649.0,,
Kolkata,Suburb,900.0,,
Kolkata,Near Airport,4236.0,,
Kolkata,City Center,1517.0,,
Ahmedabad,Near Airport,4951.0,,
Ahmedabad,Shopping District,3350.0,,
Ahmedabad,Suburb,2281.0,,
Laurieville,,,MI,362472.0
Daytown,,,UT,45855.0
Keithburgh,,,GU,732411.0
Martinfurt,,,OR,583351.0
New Sarah,,,MN,906875.0
West Angela,,,PW,629813.0
West Alexandraton,,,DC,516819.0
West Nicholasview,,,DE,246888.0
Amandaberg,,,IL,625567.0
New Craig,,,CA,699561.0
Karenville,,,NC,466885.0
Lake Mary,,,NJ,598592.0
Mclaughlinbury,,,PA,444326.0
West Michael,,,VI,174693.0
Morenoville,,,TN,309324.0
Ellisfort,,,KS,120329.0
East Amber,,,MP,465162.0
Stephanieview,,,NC,865091.0
South Wyattberg,,,NJ,326437.0
North Tanya,,,ID,744238.0
Theresaview,,,NH,420607.0
Christinafort,,,PW,356093.0
North Thomas,,,OH,26940.0
West Jeffreyborough,,,MT,727197.0
East Ivan,,,VI,367535.0
Harrisonfort,,,MH,149553.0
New Gregory,,,AR,488818.0
East Craigtown,,,OK,406148.0
Michaelshire,,,NC,749723.0
South Anthonystad,,,OR,431776.0
Navarrostad,,,NY,459038.0
North John,,,MT,972990.0
West Jeffreyberg,,,MT,970248.0
East Leslie,,,NY,83180.0
Lake Madison,,,CT,332887.0
New Andrewberg,,,GA,870687.0
South Brianchester,,,DE,859949.0
Crawfordport,,,NJ,925883.0
Olsonhaven,,,AS,929092.0
Deborahchester,,,FM,484011.0
East Ronnie,,,AS,289362.0
North Janehaven,,,AL,484775.0
Karenville,,,OH,86173.0
West Sarah,,,SD,809270.0
New Douglastown,,,WA,855140.0
Carolineport,,,MA,57263.0
Joshuatown,,,FL,452195.0
Turnerfort,,,AR,333360.0
Bryanhaven,,,LA,596930.0
Monicamouth,,,VT,552198.0
Lake Heatherside,,,DC,614496.0
Port William,,,OK,553192.0
New Joe,,,NV,714582.0
Coryport,,,GA,701415.0
Port Gregoryshire,,,OR,190826.0
Ryanland,,,OR,114676.0
Andrewland,,,MH,822020.0
South Joyberg,,,NE,535453.0
South Donald,,,OK,655292.0
Lake Edward,,,AZ,770092.0
Lake Theresamouth,,,NM,468598.0
Penningtonmouth,,,NJ,252048.0
Amandahaven,,,WY,344693.0
Fullerborough,,,IN,43855.0
Pamelahaven,,,MT,50667.0
Port Julia,,,KY,509735.0
Oneillshire,,,RI,137643.0
Rebeccamouth,,,VA,498178.0
North Jennifer,,,MS,657524.0
Grahamside,,,DC,746090.0
Lake Jessica,,,OR,448138.0
West Nicholastown,,,MH,929642.0
New Stephanieport,,,IA,348171.0
East Bryanstad,,,DE,84633.0
West Dominique,,,PR,502684.0
Kempshire,,,AZ,814144.0
Barnesfurt,,,PW,781858.0
Ambermouth,,,IA,31341.0
South Alexandriaton,,,PR,34122.0
Gaymouth,,,WV,459852.0
New Alexander,,,MD,614836.0
North Wayne,,,AK,930238.0
West Kimberly,,,MA,202036.0
Bryanshire,,,DC,21170.0
South Timothyside,,,MT,168025.0
Lake Jon,,,AZ,321979.0
East Thomas,,,PA,217227.0
Lake Matthew,,,CA,651370.0
