Business,City,Competitor Names,Business_Name,Business_Type
Coffee Shop,Pune,Cafe Coffee Day; Third Wave Coffee,,
Coffee Shop,Bangalore,Barista; Starbucks,,
Coffee Shop,Chennai,Starbucks; Barista,,
Salon,Hyderabad,BBlunt; Green Trends,,
Salon,Chennai,Naturals; Toni & Guy,,
Salon,Ahmedabad,Naturals; Toni & Guy,,
Gym,Chennai,Talwalkars; Anytime Fitness,,
Gym,Mumbai,Anytime Fitness; Talwalkars,,
Gym,Pune,Gold's Gym; CultFit,,
Bakery,Kolkata,Bakingo; CakeZone,,
Bakery,Chennai,Sweet Truth; Bakingo,,
Bakery,Pune,Bakingo; CakeZone,,
Bookstore,Chennai,Oxford Bookstore; Crossword,,
Bookstore,Bangalore,Oxford Bookstore; Crossword,,
Bookstore,Hyderabad,Sapna Book House; Oxford Bookstore,,
Pet Grooming,Mumbai,Pawfect; Heads Up For Tails,,
Pet Grooming,Pune,Heads Up For Tails; Petspace,,
Pet Grooming,Delhi,Petspace; Heads Up For Tails,,
Cloud Kitchen,Ahmedabad,Faasos; Eat.fit,,
Cloud Kitchen,Delhi,Faasos; Eat.fit,,
Cloud Kitchen,Kolkata,Box8; Eat.fit,,
Boutique,Kolkata,Fabindia; Soch,,
Boutique,Bangalore,Soch; Biba,,
Boutique,Mumbai,Biba; Fabindia,,
Electronics Repair,Mumbai,UrbanClap; OnsiteGo,,
Electronics Repair,Kolkata,OnsiteGo; 1Assist,,
Electronics Repair,Hyderabad,1Assist; UrbanClap,,
Dance Studio,Pune,Nritya Shakti; Ashley Lobo,,
Dance Studio,Ahmedabad,Nritya Shakti; Ashley Lobo,,
Dance Studio,Delhi,Nritya Shakti; Shiamak Davar,,
,Mumbai,,"Brown, Bailey and Hall",Bookstore Relate
,Kolkata,,Banks-Munoz,Bookstore Then
,Ahmedabad,,Wright-Brandt,Gym Plan
,Hyderabad,,Allen PLC,Bookstore Human
,Pune,,"Carroll, Clark and Jenkins",Cafe Country
,Delhi,,"Love, Zamora and Farmer",Cafe Manager
,Mumbai,,"Peterson, Whitaker and Medina",Florist Garden
,Kolkata,,Baker Ltd,Florist Medical
,Kolkata,,Moore-Oliver,Restaurant Other
,Mumbai,,Warren-Rivera,Clothing Store Guy
,Bangalore,,"Perez, Jackson and Peterson",Bookstore Charge
,Ahmedabad,,Roberts Inc,Salon You
,Kolkata,,Robinson-Collins,Restaurant Education
,Ahmedabad,,"Moss, Rodriguez and Mccarthy",Bookstore Quality
,Bangalore,,"Bailey, Hoffman and Dixon",Gym Practice
,Mumbai,,Moyer PLC,Cafe Around
,Bangalore,,"Harris, Anderson and Mitchell",Salon Between
,Delhi,,"Walter, Boyer and Cooper",Bookstore She
,Mumbai,,Jordan-Briggs,Restaurant Main
,Chennai,,"Kelley, Morton and Parker",Salon Kid
,Ahmedabad,,Alexander Group,Bakery Similar
,Chennai,,Nelson Inc,Bakery Always
,Ahmedabad,,"Brown, Boone and Nguyen",Cafe Majority
,Chennai,,Brown PLC,Bookstore Degree
,Hyderabad,,"Johnson, Woodard and Turner",Gym Commercial
,Hyderabad,,"Patel, Thompson and Diaz",Bookstore Movie
,Ahmedabad,,"Brown, Robinson and Johnson",Salon Loss
,Bangalore,,Robertson-Colon,
,Delhi,,"Webb, Jefferson and Manning",Salon Dinner
,Mumbai,,Rosales-Coleman,Bookstore Blood
,Ahmedabad,,Blevins Group,Bookstore Feeling
,Ahmedabad,,Klein LLC,Cafe Lot
,Chennai,,Taylor-Williams,Bakery Door
,Delhi,,Ingram LLC,Cafe Song
,Kolkata,,Armstrong Group,Bakery Discuss
,Mumbai,,"White, Fowler and Brooks",Bookstore Personal
,Chennai,,"Morris, Lopez and Duran",Gym Development
,Mumbai,,Brewer-Thomas,Bookstore Parent
,Delhi,,Allen-Davis,Bakery Finish
,Pune,,Tucker PLC,Clothing Store Early
,Ahmedabad,,"Duffy, Roberts and Olson",Restaurant Into
,Delhi,,Foley-Hale,Bookstore Ready
,Hyderabad,,Houston Ltd,Salon Situation
,Ahmedabad,,Hoffman LLC,Cafe Front
,Chennai,,Vazquez and Sons,Bookstore Democrat
,Hyderabad,,Smith Ltd,Salon Lawyer
,Mumbai,,Smith LLC,Gym Believe
,Mumbai,,Griffith Inc,Gym Travel
,Delhi,,Williams and Sons,Cafe Night
,Mumbai,,Keller-Jones,Salon Old
,Chennai,,Dickerson-Gentry,Gym Indeed
,Chennai,,Reed-Gaines,Salon Important
,Pune,,"Solis, Ballard and Cruz",Salon Something
,Ahmedabad,,"Galvan, Carney and Beard",Salon Kid
,Ahmedabad,,"Baker, Walker and Boyer",Clothing Store Likely
,Delhi,,Burns-Long,Salon Simple
,Hyderabad,,Ho-Johnston,Bakery Door
,Chennai,,Diaz-Rodriguez,
,Mumbai,,Arnold-Lewis,Florist Middle
,Chennai,,Cole Group,Bakery Ready
,Pune,,"Reyes, Morgan and Freeman",Bookstore Manage
,Chennai,,Ramsey PLC,Florist Soldier
,Kolkata,,Barton Ltd,Cafe Cultural
,Bangalore,,Hansen-Schneider,Restaurant Know
,Pune,,Collier-Lawrence,Bookstore Skin
,Delhi,,Holmes Group,Gym Less
,Chennai,,"Pratt, Pierce and Chase",Bookstore Husband
,Chennai,,"Gonzales, Short and Marshall",Cafe Organization
,Pune,,"White, Murphy and Norman",Salon Kid
,Hyderabad,,"Webster, Watkins and Boyle",Cafe Better
,Pune,,Robinson-King,Clothing Store Board
,Pune,,"Burns, Howard and Wagner",Bookstore Sense
,Delhi,,Bates-Strickland,Cafe Lot
,Bangalore,,White Ltd,Bookstore Ready
,Chennai,,Lewis-Irwin,Gym Decade
,Pune,,"Jones, Wright and Carlson",Gym Culture
,Chennai,,Owens-Perez,
,Chennai,,Delgado-Jackson,Florist Be
,Delhi,,Banks and Sons,Cafe New
,Kolkata,,Fernandez-Allen,Salon Dinner
,Mumbai,,"Turner, Andrews and Velazquez",Bakery Community
,Chennai,,Salazar Group,Bakery Sound
,Hyderabad,,Patterson-Oconnor,Florist With
,Bangalore,,Rodriguez PLC,Florist State
,Mumbai,,"Weaver, Willis and Becker",Salon Move
,Bangalore,,Flowers Group,Cafe However
,Hyderabad,,Perkins Inc,Clothing Store Network
,Delhi,,"Lowe, Young and Phillips",Clothing Store Star
,Mumbai,,"Kaufman, Garrett and Archer",Bakery Give
,Hyderabad,,Barton Group,Salon Sign
,Kolkata,,Parker Ltd,Bakery Difficult
,Chennai,,Raymond-Schaefer,Gym Development
,Chennai,,Wilson PLC,Florist Above
,Kolkata,,"West, Campbell and Shah",Clothing Store Number
,Pune,,"Gutierrez, Cervantes and Price",Gym Education
,Hyderabad,,"Cox, Mcknight and Benson",Cafe Cup
,Kolkata,,"Jones, Ramirez and Bray",Florist Trade
,Mumbai,,"Brooks, Hobbs and Collins",Florist Focus
,Delhi,,Blankenship Group,Gym Value
,Ahmedabad,,"Smith, Chung and Torres",Clothing Store Development
,Pune,,"Smith, Henderson and Jacobs",Bakery Clearly
,Delhi,,Garcia-Lee,Bakery Where
,Hyderabad,,Yates and Sons,Bookstore Social
,Pune,,Hendricks-Boyer,Bakery Quickly
,Delhi,,Hill and Sons,Cafe Since
,Pune,,"Diaz, Miller and Ramirez",Restaurant Spring
,Delhi,,Jackson-Delacruz,Cafe Machine
,Hyderabad,,Thomas-Owen,Cafe Would
,Mumbai,,"Bridges, Robles and Davis",Bookstore Choice
,Delhi,,"Hernandez, Griffin and Bean",Salon Heart
,Chennai,,Garrett and Sons,Gym Leg
,Delhi,,Oconnor-Flynn,Salon Move
,Chennai,,Mills-Christensen,Bookstore Skin
,Kolkata,,Gordon-Cooper,Bookstore Hand
,Mumbai,,Rivera and Sons,Gym Method
,Chennai,,"Smith, Jackson and Mccarthy",Restaurant Image
,Delhi,,Acosta-Flores,Bookstore Few
,Ahmedabad,,Butler LLC,Salon Worry
,Bangalore,,Garcia-Lane,Bakery Over
,Kolkata,,Carlson Inc,Restaurant Reveal
